sender,receiver,metabolite,hmdb_id,sensor_gene,sensor_type,metabolite_availability,sensor_score,cell_mesh_score,perm_pvalue,fdr,confidence_tier,sender_n_cells,receiver_n_cells,sensor_expr_frac
Immune cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.6941733615941067,0.0,1.0,1.0,Tier3_exploratory,48,68,0.1323529411764706
Malignant cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Stromal cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.0
Immune cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.0
Malignant cells,Malignant cells,27-Hydroxycholesterol,HMDB0002103,GPR183,Cell surface receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.047619047619047616
Stromal cells,Malignant cells,27-Hydroxycholesterol,HMDB0002103,GPR183,Cell surface receptor,0.3001702564928322,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.047619047619047616
Malignant cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RARB,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.08333333333333333
Immune cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,NR3C2,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.0
Malignant cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.0
Stromal cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.0
Immune cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.0
Malignant cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,68,0.014705882352941176
Stromal cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,68,0.014705882352941176
Immune cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,68,0.014705882352941176
Malignant cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Malignant cells,Malignant cells,13-cis-Retinoic acid,HMDB0006219,HTR2B,Cell surface receptor,0.6035866376147456,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.0
Immune cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.0
Malignant cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.047619047619047616
Stromal cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.047619047619047616
Immune cells,Malignant cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.047619047619047616
Stromal cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.4835280210437426,0.0,1.0,1.0,Tier3_exploratory,68,68,0.08823529411764706
Immune cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.4835280210437426,0.0,1.0,1.0,Tier3_exploratory,48,68,0.08823529411764706
Malignant cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Stromal cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.0
Immune cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,THRB,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.0
Stromal cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,RXRG,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.0
